Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"WALLACE, Robert John",X. Interests of close family members,,,NO INTEREST,,,2015-10-01,FEEDAP_doi_018.pdf
"WESTER, Pieter",X. Interests of close family members,,,NO INTEREST,,,2015-09-10,FEEDAP_doi_019.pdf
"BIRCH, Andrew Nicholas",X. Interests of close family members,,,NO INTEREST,,,2015-07-28,GMO_doi_000.pdf
"CASACUBERTA, Josep",X. Interests of close family members,,,NO INTEREST,,,2015-09-29,GMO_doi_001.pdf
"DE SCHRIJVER, Adinda",X. Interests of close family members,,,NO INTEREST,,,2015-09-29,GMO_doi_002.pdf
"GATHMANN, Achim",X. Interests of close family members,,,NO INTEREST,,,2015-09-29,GMO_doi_003.pdf
"GRALAK, Mikolaj Antoni",X. Interests of close family members,,,NO INTEREST,,,2015-09-29,GMO_doi_004.pdf
"GUERCHE, Philippe",X. Interests of close family members,,,NO INTEREST,,,2015-08-03,GMO_doi_005.pdf
"JONES, Huw",X. Interests of close family members,,,NO INTEREST,,,2015-07-28,GMO_doi_006.pdf
"MANACHINI, Barbara",X. Interests of close family members,,,NO INTEREST,,,2015-09-20,GMO_doi_007.pdf
"MESSEAN, Antoine",X. Interests of close family members,,,NO INTEREST,,,2015-11-10,GMO_doi_008.pdf
"NAEGELI, Hanspeter",X. Interests of close family members,,,NO INTEREST,,,2015-07-28,GMO_doi_009.pdf
"NIELSEN, Elsa Ebbesen",X. Interests of close family members,,,NO INTEREST,,,2015-11-03,GMO_doi_010.pdf
"NOGUE, Fabien",X. Interests of close family members,,,NO INTEREST,,,2015-09-29,GMO_doi_011.pdf
"ROBAGLIA, Christophe",X. Interests of close family members,,,NO INTEREST,,,2015-07-31,GMO_doi_012.pdf
"ROSTOKS, Nils",X. Interests of close family members,,,NO INTEREST,,,2015-07-29,GMO_doi_013.pdf
"TEBBE, Christoph",X. Interests of close family members,,,NO INTEREST,,,2015-07-30,GMO_doi_015.pdf
