Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"HARDY, Tony",I. Economic interest,,,NO INTEREST,,,2015-05-20,SCOM_doi_005.pdf
"JEGER, Michael John",I. Economic interest,,,NO INTEREST,,,2015-11-04,SCOM_doi_006.pdf
"KNUTSEN, Helle Katrine",I. Economic interest,,,NO INTEREST,,,2015-07-09,SCOM_doi_007.pdf
"KOUTSOUMANIS, Kostas",I. Economic interest,,,NO INTEREST,,,2015-11-30,SCOM_doi_008.pdf
"LOPEZ PUENTE, Secundino",I. Economic interest,,,NO INTEREST,,,2015-09-11,SCOM_doi_009.pdf
"MORE, Simon",I. Economic interest,,,NO INTEREST,,,2015-07-03,SCOM_doi_010.pdf
"MORTENSEN, Alicja",I. Economic interest,,,NO INTEREST,,,2015-10-09,SCOM_doi_011.pdf
"NAEGELI, Hanspeter",I. Economic interest,,,NO INTEREST,,,2015-07-28,SCOM_doi_012.pdf
"NOERRUNG, Birgit",I. Economic interest,,,NO INTEREST,,,2015-10-21,SCOM_doi_013.pdf
"NOTEBORN, Hubert",I. Economic interest,,,NO INTEREST,,,2015-10-09,SCOM_doi_014.pdf
"OCKLEFORD, Colin",I. Economic interest,,,NO INTEREST,,,2015-10-15,SCOM_doi_015.pdf
"RICCI, Antonia",I. Economic interest,,,NO INTEREST,,,2015-07-10,SCOM_doi_016.pdf
"RYCHEN, Guido",I. Economic interest,,,NO INTEREST,,,2015-09-10,SCOM_doi_017.pdf
"SCHLATTER, Josef Rudolf",I. Economic interest,,,NO INTEREST,,,2015-10-08,SCOM_doi_018.pdf
"SILANO, Vittorio",I. Economic interest,,,NO INTEREST,,,2015-09-30,SCOM_doi_019.pdf
"SOLECKI, Roland",I. Economic interest,,,NO INTEREST,,,2015-10-13,SCOM_doi_020.pdf
"THULKE, Hans-Hermann",I. Economic interest,,,NO INTEREST,,,2015-11-27,SCOM_doi_021.pdf
"TURCK, Dominique",I. Economic interest,,,NO INTEREST,,,2015-10-22,SCOM_doi_022.pdf
"WÖLFLE, Detlef",I. Economic interest,,,NO INTEREST,,,2015-09-10,SCOM_doi_023.pdf
